在「黎明」到来之前，必须有人稍微照亮「黑暗」	——迪卢克
若你困于无风之地，我将奏响高天之歌。	——温迪《原神》
如果我们要再会，就在夕阳与海面相遇的地方再会吧。到那时，再让我看看你如同钻石一般明净而璀璨的灵魂，是否蒙上了一缕尘埃吧。	——墨田
总有地上的生灵，敢于面对雷霆的威光。	——枫原万叶《原神》
【欲买桂花同载酒，只可惜故人，何日再见呢】	——钟离《原神》
「朋友，假使有一日不得不同你相别，你在我的记忆中也会如黄金般闪耀」	——钟离《原神》
曲高未必人不识，自有知音和清词。	——云堇《原神》
心有所向，日复一日，必有精进	——刻晴《原神》
岩石尚可有心，我亦是如此。	——钟离《原神》
就算古玩价值连城，给人的快乐，也只有刚拥有的一瞬	——凝光《原神》
用自己的双脚丈量土地，将未知变为知识	——阿贝多
我虽无意逐鹿，却知苍生苦楚	——钟离《原神》
复白亘古事，诗人起歌喉。	——温迪《原神》
一筷食二轮烹三餐尽欢四海扬名五味俱全
六情通七仙贺八方飘香九霄得闻十分完满	——逐月节《原神》
浮世千百年来风景依旧，人之在世却如白露与泡影	——雷电将军《原神》
只要不失去你的崇高，整个世界都会为你敞开。	——七天神像《原神》
天动万象 山海化形 荒地升星 璀如烈阳		——若陀《原神》
力量若达到极，接着考验的便是人心。多亏了你，我才能来到这片未曾踏足的领域，在这里，心和灵魂就像一片云彩，生老病死，天地万象，尽在吾辈。		——胡桃《原神》
前方会有什么……我很少思考这个问题，我必须前进，无论有谁挡在我面前。	——迪卢克《原神》
勇气不也是这样吗?一帆风顺的人不会明白它的可贵,可当你身处绝境,勇气就是令你奋起抗争、走出绝境的唯之光。	——温迪《原神》
即使只是片刻的火花，也能在仰望黑夜的人心中留下久久不灭的美丽光芒。	——宵宫《原神》
浮世景色，百千年依旧，人之在世，却如白鹿语泡影，虚无。	——雷电将军《原神》
与君相别离，何日是归期，我如朝露待日晞。	——花散里
无论是冒险还是做生意，机会都稍纵即逝	——刻晴《原神》
烟花易逝，人情长存。	——霄宫
我的神明，就托付给你了	——八重神子《原神》
椰羊的奶，好喝！比一般的羊奶，好喝！	——七七《原神》
正是因为有大家的寄托，烟花才能以如此美妙的姿态一直存在下去吧。	——霄宫《原神》
是宴席，就有结束的时候	——八重神子《原神》
只要坚信自己的道路，就无所谓天气是晴是雨。	——迪卢克《原神》
不知道如何向前的话，总之先迈出第一步，后面的道路就会自然而然地展开了。	——北斗《原神》
风雨犹祝,山海同欢,是承天地之佑;星移斗转,沧海桑田,烟火人间依旧;功名在我,百岁干秋,毋忘秉烛夜游;今古诸事,激荡中流,宏图待看新秀	——逐月节《原神》
动身吧,旅行者,佚失的诗篇还在等着我们呢	——温迪《原神》
在旅途的终点再见吧，去见证一切事物的沉淀。	——深渊荧/空《原神》
